amenity,addr:county,addr:district,operator:type,fees,photo,source,operational_status,drinking_water,water:system,pump,name,latitude,longitude,install_year
water_point,aswa,gulu,private_ownership,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fb1813bd3-67f5-406e-87d4-debaa904e7ec%2F1652879160619.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.8181717,32.3391833,
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F9e9e146d-b85d-419e-8754-a76c12827176%2F1652961688096.jpg,youthmappers_gulu,functional_in_use,yes,combined,yes,tap,2.8020362,32.3486069,5/26/2018
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F1578846e-f150-4559-888c-a0d4e989c63a%2F1653036906011.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,protected_spring,2.8484148,32.3159069,6/25/2014
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fadf97077-8498-4305-965d-09250a13fe7e%2F1652872869728.jpg,youthmappers_gulu,non_functional,yes,surfacewater,no,rainwater_harvest_tank,2.8217815,32.3528429,1/19/2022
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F5cc68ee4-53f6-4f64-8f72-52ef130fdc7a%2F1653311684885.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.869255,32.2638117,12/1/2021
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F71c4dacd-70a7-4cca-b08c-930f68f4f768%2F1653391658752.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,no,rainwater_harvest_tank,2.8108837,32.2394795,5/24/2013
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Ffe45eba1-f56a-4fe0-be46-884e9efdaafc%2F1652964600068.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,no,tap,2.7992148,32.3492566,8/6/2019
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F39d0f2c1-7593-49ae-b6e2-49f803e198ce%2F1653301106645.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7676794,32.2421605,5/23/2017
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F4c11038a-e89f-40eb-8585-fa2cb570025f%2F1652867730318.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7915067,32.3453952,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Feeb50b4e-8fd4-41ca-9528-9ce740f5f6c6%2F1653316047083.jpg,youthmappers_gulu,non_functional,yes,groundwater,yes,protected_spring,2.935517,32.2515809,9/5/2011
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fb33bef27-64fd-418a-92a9-0d72273d8502%2F1652959369142.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7917243,32.3666364,5/19/2013
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F9ceb1448-cc72-4e0e-af4d-91d4b28e6fca%2F1653041462951.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,water_truck_tank,2.8191924,32.3371593,
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F296fa3fe-12f0-485b-b255-8848a82bec33%2F1652956525922.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.797482,32.3524385,3/17/2008
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F79c90504-0c1d-40e0-aa02-360043223c28%2F1653034710621.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,no,rainwater_harvest_tank,2.8456545,32.3196348,5/20/2021
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fd494549c-3ab4-4ac8-be7f-762342e0211b%2F1652865879495.jpg,youthmappers_gulu,functional_not_in_use,yes,surfacewater,yes,tap,2.7910696,32.3460312,
water_point,aswa,gulu,community,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F94eb463d-6c19-4128-b94d-9d2efe1a5bdc%2F1652873007584.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8137704,32.3374131,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F99e4deb1-1546-48ea-966d-ba0e9d6f0f4c%2F1653386985016.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8196161,32.2484005,9/17/2010
